file_number,nesting_depth,num_ids,num_classes,num_important,duplicate_selectors,total_rules,deep_nesting,long_selectors,overqualified_selectors,browser_specific_properties,total_properties,avg_properties_per_rule,inline_styles,unused_selectors,universal_selectors,excessive_specificity,vendor_prefixes,animation_usage,excessive_zindex,unused_media_queries,color_hex_usage,excessive_font_sizes
143,0,95,5736,13,21,4259,1,657,7,52,773,0.18145539906103286,0,72,3,65,52,13,12,0,95,0
144,0,217,3208,5,21,1154,1,428,17,151,904,0.7826839826839826,0,306,134,231,151,1,4,0,217,7
145,0,217,3208,5,21,1154,1,428,17,151,904,0.7826839826839826,0,306,134,231,151,1,4,0,217,7
146,0,1932,5907,101,166,2845,1,707,83,186,3204,1.1257905832747717,0,530,23,664,186,5,26,0,1932,7
147,0,521,2581,160,85,1096,1043,153,31,339,1566,1.4275296262534185,0,223,77,142,339,1,13,0,521,16
148,0,578,10884,4633,474,6781,1,252,22,56,3008,0.4435269831907992,0,114,10,4227,56,13,19,0,578,11
149,0,991,23131,1762,169,3331,1,577,28,692,2444,0.7334933973589436,0,398,42,1730,692,4,12,0,991,9
150,0,1103,4640,124,61,1845,1,280,116,209,3005,1.6278439869989165,0,294,41,193,209,0,43,0,1103,5
151,0,634,5160,169,338,2592,1,363,19,510,3687,1.4219051291939837,0,275,38,980,510,0,14,0,634,4
152,0,600,5385,44,251,1202,1,418,3,364,1697,1.4106400665004157,0,426,452,650,364,0,12,0,600,1
153,0,469,5735,132,153,2037,1,604,20,348,3044,1.493621197252208,0,313,110,774,348,4,12,0,469,1
154,0,1133,11698,91,954,6473,1,713,97,1307,4047,0.6251158480074143,0,537,24,1241,1307,86,18,0,1133,19
155,0,295,4077,16,174,1115,1,472,70,25,1770,1.586021505376344,0,578,4,652,25,1,5,0,295,0
156,0,2447,14549,185,1368,3707,1,1792,229,161,3992,1.0765911542610571,0,1506,12,2125,161,0,47,0,2447,45
157,0,668,2694,39,94,656,1,427,173,257,1420,2.1613394216133943,0,281,18,340,257,2,14,0,668,4
158,0,1038,5846,88,172,2264,1,459,198,195,1838,0.8114790286975717,0,401,10,650,195,2,18,0,1038,27
159,0,89,2699,132,34,1955,1,88,24,76,1085,0.5547034764826176,0,37,93,544,76,14,5,0,89,1
160,0,1014,2218,37,49,1183,1,208,45,7,1995,1.6849662162162162,0,249,13,475,7,0,24,0,1014,20
161,0,1378,2100,50,217,1073,1,420,10,301,2187,2.036312849162011,0,486,7,620,301,6,18,0,1378,0
162,0,1597,9706,312,218,4037,1,862,69,250,7343,1.8184744923229321,0,379,34,1203,250,4,26,0,1597,2
163,0,40,2184,14,167,1327,1,69,2,366,972,0.7319277108433735,0,60,0,193,366,33,4,0,40,4
164,0,4183,13221,253,1057,2344,1,1446,852,170,4721,2.0132196162046907,0,1201,36,2151,170,8,11,0,4183,7
