,nesting_depth,num_ids,num_classes,num_important,duplicate_selectors,total_rules,deep_nesting,long_selectors,overqualified_selectors,browser_specific_properties,total_properties,avg_properties_per_rule,inline_styles,unused_selectors,universal_selectors,excessive_specificity,vendor_prefixes,animation_usage,excessive_zindex,unused_media_queries,color_hex_usage,excessive_font_sizes
,0,149,1575,4,11,394,1,142,4,236,1141,2.888607595,0,216,0,224,236,2,8,0,149,0
,0,64,850,4,63,484,1,80,5,380,1148,2.367010309,0,40,48,95,380,0,1,0,64,6
,0,528,7151,100,210,1900,1,609,41,102,2004,1.054182009,0,457,136,779,102,5,24,0,528,4
,0,42,809,7,149,570,1,162,17,8,958,1.677758319,0,3,1,151,8,3,11,0,42,1
,0,5,69,0,2,84,1,4,6,17,130,1.529411765,0,5,3,0,17,0,0,0,5,4
,0,79,1345,38,43,690,1,246,0,61,1459,2.111432706,0,36,5,208,61,4,22,0,79,0
,0,142,790,8,310,844,1,47,6,49,1060,1.25443787,0,16,1,258,49,1,6,0,142,3
,0,305,1003,0,58,244,244,82,5,0,36,0.146938776,223,14,3,12,0,0,0,0,305,0
,0,788,6349,20,62,2523,1,548,10,82,2840,1.125198098,0,197,19,664,82,27,8,0,788,3
,0,755,7656,1778,205,3375,1,446,66,184,3794,1.123815166,2,201,154,1577,184,8,12,0,755,1
,0,156,4729,24,679,2864,1,86,28,22,1762,0.615008726,0,48,217,1225,22,1,6,0,156,3
,0,3884,18697,116,687,5780,1,1795,40,127,10052,1.738799516,0,927,132,1360,127,21,5,0,3884,7
,0,45,1568,133,13,1021,1,88,0,22,390,0.381604697,0,8,19,240,22,1,6,0,45,10
,0,385,1795,4,98,941,912,36,5,11,1000,1.061571125,0,111,7,65,11,0,13,0,385,141
,0,466,2587,20,131,1002,1,665,0,44,1788,1.782652044,0,221,0,347,44,3,9,0,466,0
,0,48,446,4,92,238,1,32,11,11,872,3.648535565,0,24,3,19,11,1,1,0,48,2
,0,119,1343,19,49,532,1,131,66,274,1077,2.020637899,2,71,16,187,274,1,14,0,119,2
,0,413,7085,84,1352,4795,1,659,52,287,5735,1.195788157,0,206,68,1096,287,8,15,0,413,13
,0,245,4100,105,93,2030,1,181,33,157,1255,0.617922206,0,106,31,516,157,5,5,0,245,7
,0,686,8459,39,773,4504,1,483,17,78,9051,2.009100999,0,53,7,1932,78,1,19,0,686,48
,0,4,14,0,0,6,1,0,0,44,65,9.285714286,0,0,0,0,44,0,0,0,4,0
,0,384,5231,87,326,955,1,699,67,24,1679,1.756276151,0,611,18,619,24,1,25,0,384,0
,0,215,2728,8,131,1917,1,297,16,66,1579,0.823253389,0,120,133,334,66,39,7,0,215,5
,0,2648,13354,39,1607,7510,1,363,125,85,19113,2.544667821,0,76,7,3699,85,1,184,0,2648,81
,0,290,1787,34,123,928,1,255,9,43,1830,1.969860065,0,280,3,376,43,6,11,0,290,0
,0,303,1696,0,116,545,1,133,117,15,706,1.293040293,0,92,0,184,15,3,0,0,303,1
,0,84,667,1,84,572,1,41,2,32,1294,2.258289703,0,7,0,148,32,1,5,0,84,0
