file_number,nesting_depth,num_ids,num_classes,num_important,duplicate_selectors,total_rules,deep_nesting,long_selectors,overqualified_selectors,browser_specific_properties,total_properties,avg_properties_per_rule,inline_styles,unused_selectors,universal_selectors,excessive_specificity,vendor_prefixes,animation_usage,excessive_zindex,unused_media_queries,color_hex_usage,excessive_font_sizes
309,0,53,2331,6,315,1643,1,731,90,123,2213,1.3461070559610706,0,108,16,562,123,7,1,0,53,14
310,0,6,1987,1,147,626,1,241,0,14,688,1.0972886762360448,0,233,0,374,14,0,0,0,6,3
311,0,105,3104,0,140,1236,1,399,4,66,2154,1.7413096200485045,0,52,0,1211,66,2,11,0,105,2
312,0,158,6002,186,684,5422,1,168,33,106,1461,0.2694080767103079,0,25,16,1331,106,5,8,0,158,52
313,0,0,23,0,0,32,1,1,0,0,107,3.242424242424242,0,1,0,0,0,0,0,0,0,0
314,0,9,20,0,0,23,1,0,0,1,57,2.375,0,0,0,0,1,0,0,0,9,0
315,0,4,146,0,0,44,1,21,0,0,157,3.488888888888889,0,5,0,3,0,0,1,0,4,0
316,0,0,129,6,0,17,1,13,0,0,32,1.7777777777777777,0,10,0,2,0,0,0,0,0,0
317,0,266,329,6,14,842,1,545,8,12,1196,1.4187425860023726,0,214,148,175,12,2,10,0,266,2
318,0,445,3702,52,59,1413,1,669,9,1566,4723,3.34016973125884,0,319,2,346,1566,11,12,0,445,5
319,0,1198,10135,33,223,3849,1,975,40,991,5370,1.3948051948051947,0,321,169,824,991,40,12,0,1198,6
320,0,59,1162,23,488,948,1,29,0,781,1217,1.2824025289778715,0,21,0,554,781,88,3,0,59,0
321,0,611,5562,1160,82,2129,1,329,25,1144,2557,1.2004694835680751,0,118,37,957,1144,3,8,0,611,9
322,0,19,17,0,0,24,1,0,1,0,56,2.24,0,0,0,1,0,0,0,0,19,1
323,-2,1201,2749,280,40,1252,1,171,87,367,2460,1.963288108539505,0,220,12,164,367,0,15,0,1201,6
324,0,16,22,0,0,23,1,0,0,0,25,1.0416666666666667,0,0,0,0,0,0,0,0,16,0
325,0,1027,3493,15,1115,3219,1,484,48,32,3604,1.119254658385093,0,165,39,1121,32,11,3,0,1027,19
326,0,17,48,3,0,50,1,1,2,4,23,0.45098039215686275,0,1,0,9,4,0,0,0,17,0
327,0,1760,2786,13,68,804,323,713,96,3,2532,3.1453416149068323,38,689,3,675,3,0,2,0,1760,0
328,0,1760,2786,13,68,804,323,713,96,3,2532,3.1453416149068323,38,689,3,675,3,0,2,0,1760,0
329,0,1760,2786,13,68,804,323,713,96,3,2532,3.1453416149068323,38,689,3,675,3,0,2,0,1760,0
330,0,1760,2786,13,68,804,323,713,96,3,2532,3.1453416149068323,38,689,3,675,3,0,2,0,1760,0
331,0,811,13004,240,639,3193,1,1114,4,1240,5779,1.8093299937382592,0,545,632,1650,1240,23,36,0,811,5
332,0,871,12829,1298,184,4328,1,1528,714,587,4162,0.9614229614229615,0,277,15,1780,587,4,11,0,871,25
333,0,5,4629,8,0,1069,1,1020,0,2,1022,0.9551401869158879,0,0,0,680,2,1,2,0,5,0
